"","Group","Family","taxon.rank","taxon.id","taxon.name","establishment","endemic","OregonFlora"
"172","Monocotyledons","Amaryllidaceae","species",75340,"Allium campanulatum","native","yes","native"
"173","Dicotyledons","Montiaceae","species",76391,"Claytonia umbellata","native","yes","native"
"174","Dicotyledons","Orobanchaceae","species",741707,"Castilleja gracillima","native","yes","native"
"175","Dicotyledons","Asteraceae","species",75875,"Brickellia greenei","native","yes","native"
"176","Dicotyledons","Fabaceae","species",158823,"Astragalus alvordensis","native","yes","native"
"177","Dicotyledons","Asteraceae","species",76350,"Cirsium inamoenum","native","yes","native"
"178","Dicotyledons","Fabaceae","species",159033,"Astragalus vallaris","native","yes","native"
"179","Pteridophytes","Pteridaceae","species",78385,"Pellaea bridgesii","native","yes","native"
"180","Dicotyledons","Onagraceae","species",878175,"Chylismia scapoidea","native","yes","native"
"181","Monocotyledons","Amaryllidaceae","species",75348,"Allium lemmonii","native","yes","native"
"182","Dicotyledons","Orobanchaceae","species",76144,"Castilleja lacera","native","yes","native"
"183","","","species",77688,"Leptosiphon grandiflorus","native","yes",""
"184","Monocotyledons","Amaryllidaceae","species",158182,"Allium madidum","native","yes","native"
"185","Dicotyledons","Orobanchaceae","species",160192,"Castilleja fraterna","native","yes","native"
"186","Dicotyledons","Apiaceae","species",164717,"Lomatium bentonitum","native","yes","native"
"187","","","species",501742,"Aquilegia coerulea","native","yes",""
"188","Dicotyledons","Lamiaceae","species",1152362,"Monardella angustifolia","native","yes","native"
"189","Monocotyledons","Poaceae","species",1225484,"Eriocoma wallowaensis","native","yes","native"
"190","","","species",1286726,"Phoradendron libocedri","native","yes",""
"191","Dicotyledons","Nyctaginaceae","species",75246,"Abronia turbinata","native","yes","native"
"192","Dicotyledons","Asteraceae","species",75458,"Antennaria argentea","native","yes","native"
"193","Dicotyledons","Asteraceae","species",76345,"Cirsium ciliolatum","native","yes","native"
"194","Dicotyledons","Orobanchaceae","species",78371,"Pedicularis howellii","native","yes","native"
"195","Dicotyledons","Fabaceae","species",158991,"Astragalus salmonis","native","yes","native"
"196","Dicotyledons","Caryophyllaceae","species",705161,"Sabulina howellii","native","yes","native"
"197","","","species",1136244,"Lomatium tarantuloides","native","yes",""
"198","Dicotyledons","Calycanthaceae","species",63962,"Calycanthus occidentalis","native","yes","uncertain"
"199","Dicotyledons","Cleomaceae","species",76398,"Cleomella plocasperma","native","yes","native"
"200","Monocotyledons","Poaceae","species",158136,"Agrostis howellii","native","yes","native"
"201","Dicotyledons","Asteraceae","species",158418,"Antennaria stenophylla","native","yes","native"
"202","Dicotyledons","Asteraceae","species",158713,"Artemisia papposa","native","yes","native"
"203","Dicotyledons","Apiaceae","species",164752,"Lomatium serpentinum","native","yes","native"
"204","Dicotyledons","Brassicaceae","species",61994,"Caulanthus crassicaulis","native","yes","native"
"205","Dicotyledons","Brassicaceae","species",75497,"Arabis oregana","native","yes","native"
"206","Dicotyledons","Fabaceae","species",75689,"Astragalus umbraticus","native","yes","native"
"207","Dicotyledons","Saxifragaceae","species",75749,"Bensoniella oregona","native","yes","native"
"208","Dicotyledons","Brassicaceae","species",75793,"Boechera howellii","native","yes","native"
"209","Dicotyledons","Apiaceae","species",78438,"Perideridia oregana","native","yes","native"
"210","Monocotyledons","Asparagaceae","species",159730,"Camassia howellii","native","yes","native"
"211","Dicotyledons","Rosaceae","species",168021,"Rubus bartonianus","native","yes","native"
"212","","","species",772990,"Sporobolus montevidensis","native","yes",""
"213","Dicotyledons","Asteraceae","species",57925,"Chaenactis xantiana","native","yes","native"
"214","Monocotyledons","Poaceae","species",58364,"Alopecurus saccatus","native","yes","native"
"215","Dicotyledons","Asteraceae","species",58801,"Agoseris apargioides","native","yes","native"
"216","Dicotyledons","Polemoniaceae","species",75328,"Aliciella lottiae","native","yes","native"
"217","Monocotyledons","Amaryllidaceae","species",158167,"Allium brandegeei","native","yes","native"
"218","","","species",164744,"Lomatium packardiae","native","yes",""
"219","Monocotyledons","Poaceae","species",1220377,"Eriocoma hendersonii","native","yes","native"
"220","Monocotyledons","Poaceae","species",1224698,"Eriocoma pinetorum","native","yes","native"
"221","Monocotyledons","Poaceae","species",1224704,"Eriocoma webberi","native","yes","native"
"222","Monocotyledons","Poaceae","species",57155,"Agrostis hallii","native","yes","native"
"223","Dicotyledons","Polygonaceae","species",58260,"Chorizanthe membranacea","native","yes","native"
"224","Dicotyledons","Montiaceae","species",76388,"Claytonia nevadensis","native","yes","native"
"225","Dicotyledons","Caryophyllaceae","species",79113,"Silene nuda","native","yes","native"
"226","Dicotyledons","Brassicaceae","species",79196,"Stanleya viridiflora","native","yes","native"
"227","Dicotyledons","Apiaceae","species",164724,"Lomatium cusickii","native","yes","native"
"228","Dicotyledons","Apiaceae","species",164741,"Lomatium ochocense","native","yes","native"
"229","Dicotyledons","Brassicaceae","species",169328,"Stanleya confertiflora","native","yes","native"
"230","Dicotyledons","Brassicaceae","species",359615,"Boechera cusickii","native","yes","native"
"231","Dicotyledons","Brassicaceae","species",359650,"Cardamine holmgrenii","native","yes","native"
"232","Monocotyledons","Poaceae","species",1090977,"Calamagrostis utsutsuensis","native","yes","native"
"233","Dicotyledons","Asteraceae","species",1592262,"Balsamorhiza hispidula","native","yes","native"
"234","Dicotyledons","Apiaceae","species",52835,"Angelica tomentosa","native","yes","native"
"235","","","species",56796,"Quercus durata","native","yes",""
"236","Dicotyledons","Onagraceae","species",58441,"Camissonia parvula","native","yes","native"
"237","Dicotyledons","Asteraceae","species",61915,"Calycadenia fremontii","native","yes","native"
"238","Dicotyledons","Viscaceae","species",64048,"Arceuthobium siskiyouense","native","yes","native"
"239","Dicotyledons","Ericaceae","species",75514,"Arctostaphylos hispidula","native","yes","native"
"240","Dicotyledons","Fabaceae","species",75622,"Astragalus atratus","native","yes","native"
"241","Dicotyledons","Brassicaceae","species",75826,"Boechera suffrutescens","native","yes","native"
"242","Dicotyledons","Brassicaceae","species",76166,"Caulanthus pilosus","native","yes","native"
"243","Dicotyledons","Asteraceae","species",76328,"Chrysothamnus humilis","native","yes","native"
"244","Dicotyledons","Onagraceae","species",76375,"Clarkia lassenensis","native","yes","native"
"245","Dicotyledons","Montiaceae","species",76390,"Claytonia saxosa","native","yes","native"
"246","Dicotyledons","Boraginaceae","species",158307,"Amsinckia carinata","native","yes","native"
"247","Dicotyledons","Polemoniaceae","species",160787,"Collomia macrocalyx","native","yes","native"
"248","Dicotyledons","Apiaceae","species",164757,"Lomatium watsonii","native","yes","native"
"249","","","species",287309,"Choisya ternata","native","yes",""
"250","","","species",867497,"Artemisia potentilloides","native","yes",""
"251","","","hybrid",1246812,"Spiranthes × stellata","native","yes",""
"252","Monocotyledons","Asparagaceae","species",48017,"Chlorogalum angustifolium","native","yes","native"
"253","Dicotyledons","Onagraceae","species",58442,"Camissonia pusilla","native","yes","native"
"254","Dicotyledons","Asteraceae","species",59922,"Helianthella californica","native","yes","native"
"255","Dicotyledons","Brassicaceae","species",61993,"Caulanthus major","native","yes","native"
"256","Dicotyledons","Asteraceae","species",75304,"Agoseris monticola","native","yes","native"
"257","Dicotyledons","Polemoniaceae","species",75327,"Aliciella leptomeria","native","yes","native"
"258","","","species",75330,"Aliciella monoensis","native","yes",""
"259","","","species",75447,"Angelica breweri","native","yes",""
"260","","","species",75529,"Arctostaphylos nortensis","native","yes",""
"261","Dicotyledons","Asteraceae","species",75592,"Artemisia nova","native","yes","native"
"262","Dicotyledons","Asteraceae","species",75595,"Artemisia spiciformis","native","yes","native"
"263","Dicotyledons","Montiaceae","species",75963,"Calyptridium roseum","native","yes","native"
"264","Dicotyledons","Asteraceae","species",76233,"Chaenactis suffrutescens","native","yes","native"
"265","Dicotyledons","Onagraceae","species",76372,"Clarkia heterandra","native","yes","native"
"266","","","species",77355,"Helianthus exilis","native","yes",""
"267","Dicotyledons","Apiaceae","species",77806,"Lomatium engelmannii","native","yes","native"
"268","Dicotyledons","Apiaceae","species",77821,"Lomatium peckianum","native","yes","native"
"269","","","species",116362,"Aesculus flava","native","yes",""
"270","Dicotyledons","Saxifragaceae","species",128866,"Boykinia intermedia","native","yes","native"
"271","Dicotyledons","Brassicaceae","species",143680,"Arabis furcata","native","yes","native"
"272","Dicotyledons","Apiaceae","species",158372,"Angelica canbyi","native","yes","native"
"273","Dicotyledons","Asteraceae","species",159141,"Balsamorhiza rosea","native","yes","native"
"274","","","species",160493,"Chelone lyonii","native","yes",""
"275","Dicotyledons","Asteraceae","species",160591,"Cirsium brevifolium","native","yes","native"
"276","Dicotyledons","Apiaceae","species",164728,"Lomatium erythrocarpum","native","yes","native"
"277","Dicotyledons","Brassicaceae","species",359611,"Boechera atrorubens","native","yes","native"
"278","Dicotyledons","Apiaceae","species",504889,"Lomatium pastorale","native","yes","native"
"279","","","species",628917,"Claytonia obovata","native","yes",""
"280","","","species",860238,"Sedum kimnachii","native","yes",""
"281","Dicotyledons","Lauraceae","species",48807,"Umbellularia californica","unknown","yes","native"
"282","Monocotyledons","Liliaceae","species",159697,"Calochortus umpquaensis","unknown","yes","native"
"283","Dicotyledons","Asteraceae","species",78316,"Packera bolanderi","unknown","yes","native"
"284","Dicotyledons","Orobanchaceae","species",76153,"Castilleja pilosa","unknown","yes","native"
"285","Monocotyledons","Liliaceae","species",64438,"Calochortus longebarbatus","unknown","yes","native"
"286","Dicotyledons","Orobanchaceae","species",160175,"Castilleja angustifolia","unknown","yes","native"
"287","Monocotyledons","Melanthiaceae","species",55697,"Trillium albidum","unknown","yes","native"
"288","Dicotyledons","Convolvulaceae","species",75964,"Calystegia atriplicifolia","unknown","yes","native"
"289","Monocotyledons","Liliaceae","species",64424,"Calochortus elegans","unknown","yes","native"
"290","Dicotyledons","Polemoniaceae","species",160786,"Collomia debilis","unknown","yes","native"
"291","Dicotyledons","Orobanchaceae","species",60242,"Castilleja campestris","unknown","yes","native"
"292","Dicotyledons","Fabaceae","species",62689,"Lupinus lepidus","unknown","yes","native"
"293","Dicotyledons","Fabaceae","species",75612,"Astragalus accidens","unknown","yes","native"
"294","Dicotyledons","Fabaceae","species",158871,"Astragalus cusickii","unknown","yes","native"
"295","Dicotyledons","Asteraceae","species",76355,"Cirsium remotifolium","unknown","yes","native"
"296","Dicotyledons","Asteraceae","species",163789,"Hieracium longiberbe","unknown","yes","native"
"297","Dicotyledons","Apiaceae","species",164729,"Lomatium farinosum","unknown","yes","native"
"298","Gymnosperms","Cupressaceae","species",76237,"Chamaecyparis lawsoniana",NA,"yes","native"
"299","Dicotyledons","Asteraceae","species",55563,"Bellis perennis","introduced","","exotic, naturalized"
"300","Dicotyledons","Plantaginaceae","species",53983,"Digitalis purpurea","introduced","","exotic, naturalized"
"301","Dicotyledons","Apiaceae","species",76610,"Daucus carota","introduced","","exotic, naturalized"
"302","Dicotyledons","Geraniaceae","species",55925,"Geranium robertianum","introduced","","exotic, naturalized"
"303","Dicotyledons","Geraniaceae","species",77255,"Geranium lucidum","introduced","","exotic, naturalized"
"304","Dicotyledons","Simaroubaceae","species",57278,"Ailanthus altissima","introduced","","exotic, naturalized"
"305","Dicotyledons","Lamiaceae","species",55851,"Lamium purpureum","introduced","","exotic, naturalized"
"306","Dicotyledons","Fabaceae","species",61009,"Lathyrus latifolius","introduced","","exotic, naturalized"
"307","Dicotyledons","Fabaceae","species",55745,"Trifolium repens","introduced","","exotic, naturalized"
"308","Dicotyledons","Plantaginaceae","species",53178,"Plantago lanceolata","introduced","","exotic, naturalized"
"309","Dicotyledons","Solanaceae","species",55620,"Solanum dulcamara","introduced","","exotic, naturalized"
"310","Dicotyledons","Asteraceae","species",55981,"Lapsana communis","introduced","","exotic, naturalized"
"311","Dicotyledons","Asteraceae","species",52913,"Cichorium intybus","introduced","","exotic, naturalized"
"312","Dicotyledons","Fabaceae","species",51875,"Trifolium pratense","introduced","","exotic, naturalized"
"313","Dicotyledons","Asteraceae","species",52989,"Cirsium vulgare","introduced","","exotic, naturalized"
"314","Dicotyledons","Ranunculaceae","species",48229,"Ranunculus repens","introduced","","exotic, naturalized"
"315","Dicotyledons","Geraniaceae","species",47687,"Erodium cicutarium","introduced","","exotic, naturalized"
"316","Dicotyledons","Asteraceae","species",53104,"Hypochaeris radicata","introduced","","exotic, naturalized"
"317","Dicotyledons","Asteraceae","species",60132,"Cirsium arvense","introduced","","exotic, naturalized"
"318","Dicotyledons","Lamiaceae","species",57116,"Mentha pulegium","introduced","","exotic, naturalized"
"319","Dicotyledons","Scrophulariaceae","species",59028,"Verbascum blattaria","introduced","","exotic, naturalized"
"320","Dicotyledons","Rosaceae","species",51147,"Crataegus monogyna","introduced","","exotic, naturalized"
"321","","","species",168025,"Rubus bifrons","introduced","",""
"322","Dicotyledons","Fabaceae","species",57317,"Vicia villosa","introduced","","exotic, naturalized"
"323","Dicotyledons","Brassicaceae","species",55829,"Cardamine hirsuta","introduced","","exotic, naturalized"
"324","Dicotyledons","Asteraceae","species",48543,"Mycelis muralis","introduced","","exotic, naturalized"
"325","Dicotyledons","Convolvulaceae","species",53021,"Convolvulus arvensis","introduced","","exotic, naturalized"
"326","Dicotyledons","Balsaminaceae","species",47888,"Impatiens capensis","introduced","","exotic, naturalized"
"327","Dicotyledons","Apiaceae","species",52998,"Conium maculatum","introduced","","exotic, naturalized"
"328","Dicotyledons","Asteraceae","species",933404,"Centaurea cyanus","introduced","","exotic, naturalized"
